subject,session,modality,direction,rsn_idx,rsn_name,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6
1222,REST1,ASL,LR,0,medial_visual,1.0647107369924282,0.9873866535578852,1.1986957472250923,0.8649974374866046,0.7591051483517427,0.5179430915348547
1222,REST1,ASL,LR,1,occipital_pole,1.1842677332466036,1.3397743454849977,1.4781019103730135,1.1169614273363062,1.001448540214462,0.7985076962177716
1222,REST1,ASL,LR,2,lateral_visual,0.8685000680378065,1.2809338454620642,1.0608719606852628,0.8675005677047231,0.9808292530117262,0.8803587226480918
1222,REST1,ASL,LR,3,default_mode,1.0859538917961862,1.3862943611198906,1.2809338454620642,1.6094379124341003,1.2878542883066382,0.49247648509779407
1222,REST1,ASL,LR,4,cerebellum,1.37147927533475,1.1130010261202092,1.157452788691043,1.126011262856224,1.2163953243244932,1.2729656758128873
1222,REST1,ASL,LR,5,sensorimotor,0.9137558762709671,1.0736109864626924,1.0986122886681098,1.4759065198095778,1.6094379124341003,2.0149030205422647
1222,REST1,ASL,LR,6,auditory,0.9529004774867159,0.8729402910005413,1.2729656758128873,1.1394342831883648,1.3581234841531944,0.9808292530117262
1222,REST1,ASL,LR,7,executive_ctrl,0.9848534033114518,0.916290731874155,1.5163474893680884,1.0647107369924282,1.5260563034950494,1.0360919316867756
1222,REST1,ASL,LR,8,right_frontoparietal,1.0560526742493137,0.9444616088408514,1.270462545594769,1.0560526742493137,1.1349799328389845,1.2039728043259361
1222,REST1,ASL,LR,9,left_frontoparietal,1.2367626271489267,1.0704414117014134,1.0445450673978338,1.1856236656577395,1.1631508098056809,1.0608719606852628
1222,REST1,ASL,RL,0,medial_visual,1.0055218656020977,0.8898574748059995,0.6531418459462461,0.7939518796819109,0.34740130715340317,0.19237189264745613
1222,REST1,ASL,RL,1,occipital_pole,1.1526795099383855,1.02528101558256,0.8198988861990892,0.6390799592896695,0.7230001437096265,0.4353180712578455
1222,REST1,ASL,RL,2,lateral_visual,0.9684287398132712,0.6180265500918372,0.8614824953791601,0.8522118751896327,0.6493445579015524,0.5363047090669756
1222,REST1,ASL,RL,3,default_mode,0.9822987609910862,1.0537617225027578,0.9614111671546247,0.9509762898620451,1.0986122886681098,1.1349799328389845
1222,REST1,ASL,RL,4,cerebellum,1.0451236037171234,1.264597426142371,0.713766467762681,1.3397743454849977,1.126011262856224,1.791759469228055
1222,REST1,ASL,RL,5,sensorimotor,1.0812205459562405,0.8549902060103594,0.7884573603642702,1.1557707025080584,1.1394342831883648,0.9343092373768334
1222,REST1,ASL,RL,6,auditory,0.7997569156182036,0.8697707162392622,0.8342257788198508,0.8421827597204331,0.6931471805599453,0.5690945318899665
1222,REST1,ASL,RL,7,executive_ctrl,0.9285608244659693,1.0203600917683615,0.7328875092094594,0.676886659688165,0.5527898228650229,0.42845462633286313
1222,REST1,ASL,RL,8,right_frontoparietal,0.901177094064107,1.1786549963416462,1.0799201556559572,0.9873866535578852,0.5232481437645479,0.5355182363563622
1222,REST1,ASL,RL,9,left_frontoparietal,1.2747418752141433,1.1878434223960523,1.006804739414987,0.7841189587656721,0.7884573603642702,0.8209805520698302
1222,REST2,ASL,LR,0,medial_visual,1.1349799328389845,1.0498221244986778,1.0498221244986778,1.0775588794702773,1.1856236656577395,0.8649974374866046
1222,REST2,ASL,LR,1,occipital_pole,1.2321436812926323,1.199964782928397,1.3862943611198906,0.9916401691159419,0.7375989431307791,0.832909122935104
1222,REST2,ASL,LR,2,lateral_visual,1.1320602227356498,1.3121863889661687,1.3040562628829186,0.9409833444645266,1.0116009116784799,0.7949298748698876
1222,REST2,ASL,LR,3,default_mode,1.0927471692157116,1.0451236037171234,0.9102116857977728,1.1700712526502546,1.0258529343856815,0.8194409058842375
1222,REST2,ASL,LR,4,cerebellum,1.0698333241180662,1.11365016603265,1.0809127115687087,0.7621400520468967,0.6286086594223742,0.916290731874155
1222,REST2,ASL,LR,5,sensorimotor,1.1925441085023132,1.1130010261202092,0.9963334395476915,0.8472978603872037,0.7765287894989963,0.8167611365271219
1222,REST2,ASL,LR,6,auditory,1.1917027117341217,1.3375041969504586,1.1786549963416462,0.9985288301111273,1.1786549963416462,1.7047480922384253
1222,REST2,ASL,LR,7,executive_ctrl,1.0222393098835358,1.3652409519220583,1.0116009116784799,1.0116009116784799,1.3862943611198906,0.8873031950009028
1222,REST2,ASL,LR,8,right_frontoparietal,1.1587808101345625,1.2833463918674481,0.8522118751896327,0.7295148247308202,0.6505875661411494,0.5533852381847867
1222,REST2,ASL,LR,9,left_frontoparietal,1.001448540214462,1.1325138403437909,0.9694005571881036,0.7654678421395714,0.7654678421395714,1.0986122886681098
1222,REST2,ASL,RL,0,medial_visual,1.129864832172214,1.051544777810124,1.0388930539664873,1.0986122886681098,1.041453874828161,0.6931471805599453
1222,REST2,ASL,RL,1,occipital_pole,1.138732282457535,1.2083112059245342,0.9332883082427261,0.8415671856782186,0.7323678937132265,0.6190392084062235
1222,REST2,ASL,RL,2,lateral_visual,1.252762968495368,1.3748656652962679,1.052092273033217,0.712949807856125,0.7357067949787413,0.8109302162163288
1222,REST2,ASL,RL,3,default_mode,1.3378419777339439,1.3862943611198906,0.8792494601938059,1.074514737089049,0.8472978603872037,1.0986122886681098
1222,REST2,ASL,RL,4,cerebellum,1.3178265618424299,1.0986122886681098,1.129864832172214,0.9420432279765697,0.5733459807473247,0.6061358035703156
1222,REST2,ASL,RL,5,sensorimotor,0.9958027948018888,1.3437347467010947,1.0986122886681098,0.9694005571881036,0.7357067949787413,0.43286408229627876
1222,REST2,ASL,RL,6,auditory,1.051544777810124,1.2181574393178924,0.9444616088408514,0.9420432279765697,0.8960880245566356,1.0586069540544105
1222,REST2,ASL,RL,7,executive_ctrl,1.059198320127233,1.2580400255962119,0.6931471805599453,0.756862994946053,0.4754236967150748,0.4978384282391796
1222,REST2,ASL,RL,8,right_frontoparietal,1.0541605260972757,1.329135947279942,1.0473189942805592,0.7777045685880083,0.7472144018302211,0.4818380868927383
1222,REST2,ASL,RL,9,left_frontoparietal,1.0986122886681098,1.1394342831883648,0.8527773261518292,0.8919980393051105,0.7621400520468967,0.6380874033769179
5185,REST1,ASL,LR,0,medial_visual,0.9718605830289657,0.9287132518727123,0.9520088144762343,1.1939224684724346,1.3217558399823195,0.9808292530117262
5185,REST1,ASL,LR,1,occipital_pole,0.8931683144533009,1.0147308046874075,1.0608719606852628,1.067840630001356,0.39086630868701167,1.2992829841302609
5185,REST1,ASL,LR,2,lateral_visual,1.1817271953786164,1.3217558399823195,1.2729656758128873,1.349926716949016,1.2039728043259361,1.0986122886681098
5185,REST1,ASL,LR,3,default_mode,1.2312567632744045,1.245215762859985,1.363304842895192,1.1895840668738362,1.3862943611198906,1.466337068793427
5185,REST1,ASL,LR,4,cerebellum,0.9532793012434957,1.0531499145913523,1.2383742310432684,1.3609765531356008,1.0647107369924282,0.7375989431307791
5185,REST1,ASL,LR,5,sensorimotor,1.0818051703517284,1.1952391243571814,1.363304842895192,1.575536360758419,1.1895840668738362,1.1451323043030026
5185,REST1,ASL,LR,6,auditory,1.0883029190092486,1.2039728043259361,1.2205021062771466,1.006804739414987,0.9808292530117262,1.0608719606852628
5185,REST1,ASL,LR,7,executive_ctrl,1.264279410556927,1.270462545594769,1.0775588794702773,1.120591195386885,0.9382696385929302,0.8649974374866046
5185,REST1,ASL,LR,8,right_frontoparietal,1.303406701314123,1.3609765531356008,1.2237754316221157,1.3062516534463542,1.1314021114911006,1.2729656758128873
5185,REST1,ASL,LR,9,left_frontoparietal,0.9886113934537812,1.0857088838322018,1.1676051601550612,1.252762968495368,,1.3862943611198906
5185,REST1,ASL,RL,0,medial_visual,1.1517221139820581,1.0498221244986778,1.270462545594769,1.213022639845854,0.6466271649250525,1.041453874828161
5185,REST1,ASL,RL,1,occipital_pole,1.0599974525403302,1.2181574393178924,1.3668762752627892,1.0531499145913523,0.9932517730102834,0.3101549283038396
5185,REST1,ASL,RL,2,lateral_visual,1.1306150197542835,1.2339536365378718,1.11365016603265,0.832909122935104,0.8183103235139514,0.579818495252942
5185,REST1,ASL,RL,3,default_mode,1.2992829841302609,1.327798154438282,0.9236708391717777,1.0033021088637848,0.9985288301111273,1.3121863889661687
5185,REST1,ASL,RL,4,cerebellum,1.001448540214462,1.0152306797290587,1.4469189829363254,0.8167611365271219,1.041453874828161,0.5753641449035618
5185,REST1,ASL,RL,5,sensorimotor,1.2443240998495033,0.8591323180342064,1.1786549963416462,0.7230001437096265,0.5389965007326869,0.6380874033769179
5185,REST1,ASL,RL,6,auditory,1.252762968495368,1.16857087727502,1.0198314108149953,0.7102416139192453,0.6435502394205731,0.6931471805599453
5185,REST1,ASL,RL,7,executive_ctrl,1.2222262446352863,1.3437347467010947,1.1664348850068706,1.2992829841302609,0.7537718023763802,0.5465437063680699
5185,REST1,ASL,RL,8,right_frontoparietal,1.2205021062771466,1.3993664426872434,1.1314021114911006,0.9628107475090478,0.8109302162163288,0.6931471805599453
5185,REST1,ASL,RL,9,left_frontoparietal,1.4508328822574619,1.1986957472250923,0.916290731874155,0.8373967894044921,0.5349231753450512,0.3395071403163669
5185,REST2,ASL,LR,0,medial_visual,0.9325512527459353,1.1451323043030026,0.9315582040049435,0.8292793548845253,0.6729444732424258,0.9444616088408514
5185,REST2,ASL,LR,1,occipital_pole,0.9567317014326657,1.0394234172777792,1.3862943611198906,1.1557707025080584,0.8064758658669484,0.7765287894989963
5185,REST2,ASL,LR,2,lateral_visual,0.9808292530117262,0.9968295943581673,1.2685113254635072,0.7205461547480597,1.0775588794702773,1.213022639845854
5185,REST2,ASL,LR,3,default_mode,1.072636802264849,1.0622446444972349,1.0663514264498883,1.452252328911688,1.024504316514388,0.9490805546971459
5185,REST2,ASL,LR,4,cerebellum,1.1180303745252114,1.2909841813155656,0.6312717768418579,0.6151856390902334,0.5363047090669756,0.45547552868282576
5185,REST2,ASL,LR,5,sensorimotor,1.1631508098056809,1.0360919316867756,1.2083112059245342,0.7576857016975165,1.252762968495368,0.8266785731844679
5185,REST2,ASL,LR,6,auditory,0.9699949108460162,0.8994836135577737,0.8627064857400486,0.7711087220296571,0.8994836135577737,0.995428052432879
5185,REST2,ASL,LR,7,executive_ctrl,1.1216018068928084,1.0881409888008142,0.9287132518727123,1.041453874828161,0.6783320947748046,0.8007778447523107
5185,REST2,ASL,LR,8,right_frontoparietal,1.16857087727502,1.221214610760442,0.9808292530117262,0.9614111671546247,0.6190392084062235,0.6931471805599453
5185,REST2,ASL,LR,9,left_frontoparietal,0.9675840262617056,0.8513711857748395,1.0258529343856815,0.9267620317414506,0.9315582040049435,1.1700712526502546
5185,REST2,ASL,RL,0,medial_visual,1.213022639845854,1.252762968495368,1.2039728043259361,0.9675840262617056,1.2992829841302609,0.6190392084062235
