subject,session,modality,direction,rsn_idx,rsn_name,scale_1,scale_2,scale_3,scale_4,scale_5,scale_6
1222,REST1,ASL,LR,0,medial_visual,1.0647107369924282,0.9694005571881036,0.9382696385929302,0.5108256237659907,0.7621400520468967,0.40546510810816444
1222,REST1,ASL,LR,1,occipital_pole,1.1842677332466036,1.1856236656577395,1.791759469228055,0.7537718023763802,1.252762968495368,1.791759469228055
1222,REST1,ASL,LR,2,lateral_visual,0.8685000680378065,1.1727202608218315,1.3217558399823195,0.8649974374866046,1.0116009116784799,1.0986122886681098
1222,REST1,ASL,LR,3,default_mode,1.0859538917961862,1.2656663733312759,1.2809338454620642,1.2039728043259361,0.916290731874155,
1222,REST1,ASL,LR,4,cerebellum,1.37147927533475,0.8909729238898653,1.2039728043259361,1.5040773967762742,,0.916290731874155
1222,REST1,ASL,LR,5,sensorimotor,0.9137558762709671,1.2039728043259361,0.9808292530117262,2.5649493574615367,0.8472978603872037,
1222,REST1,ASL,LR,6,auditory,0.9529004774867159,0.7396671961948381,1.0986122886681098,0.8266785731844679,1.2992829841302609,1.3862943611198906
1222,REST1,ASL,LR,7,executive_ctrl,0.9848534033114518,0.8823891801984737,1.1631508098056809,1.2039728043259361,1.0986122886681098,
1222,REST1,ASL,LR,8,right_frontoparietal,1.0560526742493137,0.916290731874155,1.3862943611198906,0.7621400520468967,1.252762968495368,1.0986122886681098
1222,REST1,ASL,LR,9,left_frontoparietal,1.2367626271489267,0.8043728156701697,1.6739764335716716,1.3862943611198906,1.3862943611198906,1.6094379124341003
1222,REST1,ASL,RL,0,medial_visual,1.0055218656020977,0.8109302162163288,0.6190392084062235,1.1786549963416462,0.03636764417087483,0.3364722366212129
1222,REST1,ASL,RL,1,occipital_pole,1.1526795099383855,1.0986122886681098,0.8602012652231115,0.916290731874155,0.587786664902119,0.45198512374305727
1222,REST1,ASL,RL,2,lateral_visual,0.9684287398132712,0.832909122935104,1.1526795099383855,0.8472978603872037,0.6286086594223742,0.4418327522790392
1222,REST1,ASL,RL,3,default_mode,0.9822987609910862,1.041453874828161,0.9650808960435872,,,0.5596157879354228
1222,REST1,ASL,RL,4,cerebellum,1.0451236037171234,1.580450375560848,1.0296194171811581,1.2039728043259361,1.252762968495368,
1222,REST1,ASL,RL,5,sensorimotor,1.0812205459562405,0.9490805546971459,1.1526795099383855,1.5040773967762742,1.6094379124341003,1.0986122886681098
1222,REST1,ASL,RL,6,auditory,0.7997569156182036,0.7777045685880083,0.8938178760220964,0.9555114450274363,0.3746934494414107,1.252762968495368
1222,REST1,ASL,RL,7,executive_ctrl,0.9285608244659693,1.074514737089049,0.8472978603872037,0.5465437063680699,0.2231435513142097,0.6931471805599453
1222,REST1,ASL,RL,8,right_frontoparietal,0.901177094064107,1.0647107369924282,0.916290731874155,0.9555114450274363,0.587786664902119,0.5108256237659907
1222,REST1,ASL,RL,9,left_frontoparietal,1.2747418752141433,1.6422277352570913,0.8649974374866046,0.9808292530117262,0.587786664902119,1.0986122886681098
1222,REST2,ASL,LR,0,medial_visual,1.1349799328389845,1.0379876668516748,1.0986122886681098,0.916290731874155,1.0296194171811581,0.5108256237659907
1222,REST2,ASL,LR,1,occipital_pole,1.2321436812926323,1.0330150061822965,1.1526795099383855,1.1631508098056809,1.2039728043259361,0.916290731874155
1222,REST2,ASL,LR,2,lateral_visual,1.1320602227356498,1.5040773967762742,1.1349799328389845,0.7884573603642702,1.0986122886681098,0.6931471805599453
1222,REST2,ASL,LR,3,default_mode,1.0927471692157116,1.0498221244986778,1.041453874828161,0.8472978603872037,1.2039728043259361,1.0986122886681098
1222,REST2,ASL,LR,4,cerebellum,1.0698333241180662,1.0560526742493137,1.0560526742493137,0.7884573603642702,0.6931471805599453,1.6094379124341003
1222,REST2,ASL,LR,5,sensorimotor,1.1925441085023132,0.9808292530117262,0.6931471805599453,0.7472144018302211,0.6931471805599453,1.791759469228055
1222,REST2,ASL,LR,6,auditory,1.1917027117341217,1.3581234841531944,1.2237754316221157,2.1972245773362196,1.791759469228055,
