modality,rsn_idx,rsn_name,scale,mean_diff,t,p,n
ASL,0,medial_visual,5,0.10144663762487745,1.1602606146116317,0.2793946310298568,9
ASL,0,medial_visual,6,0.022238703807554668,0.12353071436768467,0.904734085947822,9
ASL,1,occipital_pole,1,-0.02557888531049615,-0.543345473944316,0.6016992704295024,9
ASL,1,occipital_pole,2,-0.007818528584747582,-0.08865458601263464,0.9315355966243603,9
ASL,1,occipital_pole,3,0.15569006468812951,1.6237236761290577,0.14309028766031973,9
ASL,1,occipital_pole,4,-0.08798804872286753,-0.9795709408255684,0.35598825316359367,9
ASL,1,occipital_pole,5,-0.026280094106201676,-0.13059151202898758,0.8993226083932349,9
ASL,1,occipital_pole,6,0.016541636126275645,0.14535139585847073,0.8880288920392413,9
ASL,2,lateral_visual,1,-0.08143059947777145,-1.0935776224996594,0.3059721907783881,9
ASL,2,lateral_visual,2,-0.049176838097226026,-0.5231494868867838,0.6150469093429087,9
ASL,2,lateral_visual,3,-0.03514903260534917,-0.7912111973507562,0.4516385001484531,9
ASL,2,lateral_visual,4,-0.12442682954780768,-1.98301709616064,0.08266180699012525,9
ASL,2,lateral_visual,5,0.02728252864601345,0.30065683715005054,0.7713414787860102,9
ASL,2,lateral_visual,6,-0.06760959167174818,-1.691034418615419,0.12929466396202688,9
ASL,3,default_mode,1,-0.013464515298224393,-0.27322698269164986,0.791599735898102,9
ASL,3,default_mode,2,-0.030253374155953156,-0.3869154883129264,0.7089077698850519,9
ASL,3,default_mode,3,0.006249267430851524,0.07368440086536007,0.9430705775136177,9
ASL,3,default_mode,4,-0.012290893187040254,-0.14126324870405607,0.8911543862067456,9
ASL,3,default_mode,5,-0.10602132597095792,-0.7996361762944428,0.4470123799023057,9
ASL,3,default_mode,6,-0.16185071975340445,-1.966935481170035,0.08474437074269674,9
ASL,4,cerebellum,1,-0.06847970474452696,-1.148988592634153,0.28375157853300276,9
ASL,4,cerebellum,2,-0.010672072009373527,-0.1643799719020433,0.8735093773562445,9
ASL,4,cerebellum,3,0.0007469445538428197,0.007199405205804775,0.9944320482223191,9
ASL,4,cerebellum,4,0.0028361852248408345,0.026845846097760476,0.9792402804410434,9
ASL,4,cerebellum,5,-0.029983790899523348,-0.19058713739947064,0.8535967004083707,9
ASL,4,cerebellum,6,-0.03698126513648178,-0.2264348064819129,0.8265417156752842,9
ASL,5,sensorimotor,1,-0.03887872773996534,-0.6918129380482094,0.508631393698348,9
ASL,5,sensorimotor,2,-0.0456336325324613,-0.5008791401092931,0.6299442153336586,9
ASL,5,sensorimotor,3,-0.06963784052429975,-1.08378524721867,0.31003935953812695,9
ASL,5,sensorimotor,4,-0.0597897503278091,-0.6373166733108485,0.5417237902980205,9
ASL,5,sensorimotor,5,0.001766762925472719,0.01797640815904418,0.9860979234626517,9
ASL,5,sensorimotor,6,-0.19027916613506154,-0.9198095254503799,0.3845682133792474,9
ASL,6,auditory,1,-0.05535458473476604,-0.8744954130719392,0.40733415623924174,9
ASL,6,auditory,2,0.022229969943128806,0.23344035146628916,0.82128189903231,9
ASL,6,auditory,3,-0.012930247580058365,-0.17196215397616096,0.8677377347296233,9
ASL,6,auditory,4,0.11749416734851392,1.1687125204701683,0.2761635236590531,9
ASL,6,auditory,5,0.19013560717652744,1.7535452994549505,0.11759668512309668,9
ASL,6,auditory,6,0.2837050915988799,1.9263113874969313,0.09023277782409339,9
ASL,7,executive_ctrl,1,0.0014933819024622627,0.02263642585025565,0.9824947144009566,9
ASL,7,executive_ctrl,2,0.09604141725016839,1.4438082427204628,0.186786771605531,9
ASL,7,executive_ctrl,3,-0.089148369540165,-1.5998694037668808,0.14829506357812378,9
ASL,7,executive_ctrl,4,-0.006790053362146701,-0.10328397792868317,0.9202797958348603,9
ASL,7,executive_ctrl,5,-0.1777202252318744,-1.482488890060876,0.17649458117488726,9
ASL,7,executive_ctrl,6,-0.02250669936633122,-0.12043828610972458,0.9071058462151743,9
ASL,8,right_frontoparietal,1,-0.0707247801417243,-1.2727066014281796,0.23886201982551938,9
ASL,8,right_frontoparietal,2,-0.0904077154187383,-1.084844365041094,0.30959741512648453,9
ASL,8,right_frontoparietal,3,-0.09336756229019223,-0.7579979262429422,0.4701895713601061,9
ASL,8,right_frontoparietal,4,-0.12499837713935295,-1.7801344379832107,0.11292730175806868,9
ASL,8,right_frontoparietal,5,-0.04503198523451178,-0.46538208694741984,0.6540639810928384,9
ASL,8,right_frontoparietal,6,-0.2731619877531337,-2.653458793418294,0.029099234683142235,9
ASL,9,left_frontoparietal,1,-0.14949657334071345,-2.904369088351991,0.019758902406793108,9
ASL,9,left_frontoparietal,2,-0.10260435045768307,-1.473264167122373,0.17890231009760324,9
ASL,9,left_frontoparietal,3,0.05654912391641778,0.6042189410422945,0.562437111004635,9
ASL,9,left_frontoparietal,4,-0.055075655610299284,-0.8482140499981963,0.4209712441038942,9
ASL,9,left_frontoparietal,5,0.019143657685777984,0.21704264263450268,0.8336080230738123,9
ASL,9,left_frontoparietal,6,0.055336753352821164,0.5692125756377435,0.5848347637923729,9
